num,municipio,grado_escolaridad
1,Abasolo,7.7
2,Acámbaro,8.3
3,San Miguel de Allende,8.7
4,Apaseo el Alto,7.9
5,Apaseo el Grande,8.9
6,Atarjea,7.2
7,Celaya,10.1
8,Manuel Doblado,7.2
9,Comonfort,8.2
10,Coroneo,7.8
11,Cortazar,8.8
12,Cuerámaro,7.7
13,Doctor Mora,8.1
14,Dolores Hidalgo Cuna de la Independencia Nacional,8.1
15,Guanajuato,10.5
16,Huanímaro,7.8
17,Irapuato,9.7
18,Jaral del Progreso,8.4
19,Jerécuaro,7
20,León,9.8
21,Moroleón,8.7
22,Ocampo,7.2
23,Pénjamo,7.8
24,Pueblo Nuevo,7.8
25,Purísima del Rincón,7.7
26,Romita,7.8
27,Salamanca,9.4
28,Salvatierra,8.1
29,San Diego de la Unión,7.1
30,San Felipe,7.7
31,San Francisco del Rincón,8.2
32,San José Iturbide,9.1
33,San Luis de la Paz,8.2
34,Santa Catarina,7.7
35,Santa Cruz de Juventino Rosas,7.9
36,Santiago Maravatío,7.5
37,Silao,8.7
38,Tarandacuao,8.1
39,Tarimoro,7.6
40,Tierra Blanca,8
41,Uriangato,8
42,Valle de Santiago,8
43,Victoria,8.2
44,Villagrán,8.9
45,Xichú,6.7
46,Yuriria,7.4
