Municipio,2010,2015,2020,2025
Abasolo,66.7,55.8,44.9,34
Acámbaro,56.5,52.9,49.3,45.7
San Miguel de Allende,60.6,48.6,36.6,24.6
Apaseo el Alto,57.2,51.7,46.2,40.7
Apaseo el Grande,52.1,41.9,31.7,21.5
Atarjea,74.7,82.1,89.5,96.9
Celaya,39.6,32.5,25.4,18.3
Manuel Doblado,63.3,54.5,45.7,36.9
Comonfort,63.6,57.5,51.4,45.3
Coroneo,65.3,61.1,56.9,52.7
Cortazar,51.2,40.6,30,19.4
Cuerámaro,68.9,60.4,51.9,43.4
Doctor Mora,68,50.1,32.2,14.3
Dolores Hidalgo Cuna de la Independencia Nacional,60.4,56.2,52,47.8
Guanajuato,35.6,35.3,35,34.7
Huanímaro,67.6,59.1,50.6,42.1
Irapuato,42.3,37.2,32.1,27
Jaral del Progreso,57.9,54.7,51.5,48.3
Jerécuaro,72.2,74.4,76.6,78.8
León,36.8,31.5,26.2,20.9
Moroleón,49.2,55,60.8,66.6
Ocampo,62.5,66.3,70.1,73.9
Pénjamo,67.4,58,48.6,39.2
Pueblo Nuevo,56.3,53.1,49.9,46.7
Purísima del Rincón,48.3,39.9,31.5,23.1
Romita,57.1,52.3,47.5,42.7
Salamanca,44.6,37.7,30.8,23.9
Salvatierra,64.8,60.1,55.4,50.7
San Diego de la Unión,73.4,65.7,58,50.3
San Felipe,65.2,63.6,62,60.4
San Francisco del Rincón,42.4,37.9,33.4,28.9
San José Iturbide,39.2,38.9,38.6,38.3
San Luis de la Paz,57.2,52.9,48.6,44.3
Santa Catarina,71.2,65.3,59.4,53.5
Santa Cruz de Juventino Rosas,69.9,62.9,55.9,48.9
Santiago Maravatío,64.9,75.3,85.7,96.1
Silao,56.4,43.3,30.2,17.1
Tarandacuao,53.3,63.9,74.5,85.1
Tarimoro,62.9,56,49.1,42.2
Tierra Blanca,79.1,57,34.9,12.8
Uriangato,56.7,58.2,59.7,61.2
Valle de Santiago,59.6,57.4,55.2,53
Victoria,76.6,56.1,35.6,15.1
Villagrán,51.6,38.4,25.2,12
Xichú,77.2,80.6,84,87.4
Yuriria,57.2,63.5,69.8,76.1
